Schaden Paar;Anzahl
('BCA', 'BCA');23707
('BAH', 'BCA');16385
('BCA', 'BCB');10900
('BAB', 'BAB');6241
('BAB', 'BCA');6227
('BAG', 'BCA');4381
('BCB', 'BCB');4053
('BAJ', 'BCA');3832
('BAJ', 'BAJ');3628
('BBC', 'BCA');3517
('BBB', 'BCA');3487
('BAJ', 'BDD');2872
('BBB', 'BBB');2826
('BAF', 'BCA');2801
('BAB', 'BBB');2307
('BBC', 'BBC');2281
('BCA', 'BDD');2280
('BDD', 'BDD');1940
('BAB', 'BAF');1870
('BAB', 'BAJ');1810
('BAF', 'BAF');1668
('BBA', 'BBA');1451
('BBB', 'BBF');1402
('BAF', 'BAJ');1330
('BAB', 'BAH');1318
('BAG', 'BAH');1286
('BCA', 'BCC');1274
('BCC', 'BCC');1268
('BAF', 'BBB');1152
('BAB', 'BBC');1135
('BAF', 'BBC');1122
('BAJ', 'BBC');1091
('BAH', 'BBC');927
('BBA', 'BCA');853
('BAJ', 'BBB');803
('BBB', 'BDD');749
('BAH', 'BBB');748
('BAJ', 'BBA');746
('BAB', 'BDD');716
('BBB', 'BBC');714
('BAF', 'BDD');710
('BAO', 'BCA');688
('BAC', 'BCA');686
('BBF', 'BCA');678
('BAH', 'BAO');675
('BAB', 'BAC');643
('BAH', 'BAH');638
('BAB', 'BBA');609
('BAF', 'BAH');599
('BAB', 'BBF');580
('BBC', 'BDD');554
('BAJ', 'BAO');532
('BCB', 'BDD');512
('BAC', 'BAO');490
('BAB', 'BCB');456
('BAH', 'BAJ');437
('BAA', 'BAA');424
('BAJ', 'BCC');401
('BAB', 'BAO');397
('BCC', 'BDD');386
('BAH', 'BCB');386
('BAJ', 'BCB');380
('BAF', 'BBA');377
('BAO', 'BAP');375
('BBB', 'BCB');369
('BAA', 'BCA');353
('BAC', 'BAH');323
('BBA', 'BBC');321
('BAI', 'BCA');311
('BAB', 'BAG');304
('BAC', 'BAJ');301
('BBF', 'BBF');291
('BAF', 'BAI');284
('BAI', 'BAI');281
('BAF', 'BCB');275
('BAC', 'BAC');269
('BBC', 'BCB');256
('BAF', 'BBF');254
('BAA', 'BBC');245
('BAI', 'BBC');236
('BAC', 'BBB');230
('BAH', 'BDD');230
('BBA', 'BBB');230
('BAH', 'BAP');230
('BAP', 'BCA');226
('BAA', 'BAJ');223
('BBC', 'BCC');221
('BAH', 'BBA');215
('BAF', 'BAO');207
('BAC', 'BAF');198
('BAA', 'BDD');195
('BAG', 'BBC');189
('BAI', 'BAJ');188
('BAB', 'BAI');188
('BAI', 'BBB');186
('BBA', 'BDD');182
('BBC', 'BBF');181
('BAB', 'BCC');179
('BAC', 'BBC');175
('BAA', 'BCC');166
('BAJ', 'BAP');166
('BCB', 'BCC');162
('BAG', 'BBB');162
('BAB', 'BAP');160
('BAJ', 'BBF');156
('BAO', 'BBC');154
('BAH', 'BBF');154
('BAG', 'BAJ');147
('BAA', 'BAB');147
('BAF', 'BAG');140
('BAC', 'BCB');131
('BAI', 'BDD');125
('BBF', 'BCB');123
('BBB', 'BCC');112
('BAF', 'BCC');110
('BAG', 'BAO');108
('BBF', 'BDD');107
('BAF', 'BAP');105
('BAC', 'BBA');93
('BBA', 'BCC');89
('BAC', 'BAG');86
('BAC', 'BDD');75
('BAC', 'BBF');75
('BAO', 'BBA');72
('BAG', 'BDD');64
('BBA', 'BBF');64
('BAA', 'BBA');63
('BAO', 'BBB');62
('BAG', 'BBA');62
('BAO', 'BAO');61
('BAC', 'BAP');60
('BBA', 'BCB');59
('BAP', 'BBC');54
('BAH', 'BAI');54
('BAA', 'BAO');50
('BAA', 'BBB');48
('BAC', 'BCC');45
('BAP', 'BBB');45
('BAO', 'BBF');42
('BAO', 'BDD');40
('BAG', 'BBF');40
('BAI', 'BBF');37
('BAH', 'BCC');37
('BAG', 'BCB');36
('BAA', 'BAF');36
('BAO', 'BCC');34
('BAG', 'BAP');29
('BAI', 'BBA');27
('BAA', 'BAP');27
('BBF', 'BCC');25
('BAA', 'BCB');25
('BAA', 'BAC');24
('BAP', 'BBA');24
('BAP', 'BAP');23
('BAA', 'BBF');21
('BAP', 'BCB');21
('BAI', 'BAO');21
('BAO', 'BCB');21
('BAG', 'BAI');17
('BAP', 'BDD');17
('BAP', 'BBF');16
('BAG', 'BCC');16
('BAC', 'BAI');14
('BAA', 'BAH');12
('BAI', 'BAP');11
('BAG', 'BAG');9
('BAP', 'BCC');8
('BAA', 'BAG');7
('BAI', 'BCC');6
('BAA', 'BAI');6
('BAI', 'BCB');6
